Tahun,Provinsi,Produksi,Kebakaran,DP,DK
2012,ACEH,381.488,13,1.0397286415,0
2013,ACEH,396.644,0,,
2012,BALI,0,250,0,0.2402
2013,BALI,0,60.05,,
2012,BANTEN,19.873,0,1.0114728526,0
2013,BANTEN,20.101,0,,
2012,BENGKULU,290.206,0,1.0014713686,0
2013,BENGKULU,290.633,0,,
2012,DI YOGYAKARTA,0,6.05,0,0.9917355372
2013,DI YOGYAKARTA,0,6,,
2012,DKI JAKARTA,0,0,0,0
2013,DKI JAKARTA,0,0,,
2012,GORONTALO,0,0,0,0
2013,GORONTALO,0,0,,
2012,JAMBI,696.81,11.25,0.9442014322,10.5777777778
2013,JAMBI,657.929,119,,
2012,JAWA BARAT,10.883,1945.5,1.2506661766,0.1299408892
2013,JAWA BARAT,13.611,252.8,,
2012,JAWA TENGAH,0,454,0,0.068722467
2013,JAWA TENGAH,0,31.2,,
2012,JAWA TIMUR,0,2960.05,0,0.4567963379
2013,JAWA TIMUR,0,1352.14,,
2012,KALIMANTAN BARAT,897.93,577.4,1.0188266346,0.039314167
2013,KALIMANTAN BARAT,914.835,22.7,,
2012,KALIMANTAN SELATAN,497.694,60.5,0.9558865488,6.9008264463
2013,KALIMANTAN SELATAN,475.739,417.5,,
2012,KALIMANTAN TENGAH,1126.506,55.15,0.9761971974,0.0562103354
2013,KALIMANTAN TENGAH,1099.692,3.1,,
2012,KALIMANTAN TIMUR,789.386,51.5,0.9047677562,0
2013,KALIMANTAN UTARA,102.046,0,,
2012,KEP. BANGKA BELITUNG,190.387,0,1.0562223261,0
2013,KEP. BANGKA BELITUNG,201.091,0,,
2012,KEP. RIAU,18.984,0,1.0027391488,0
2013,KEP. RIAU,19.036,0,,
2012,LAMPUNG,160.562,0,0.9843238126,0
2013,LAMPUNG,158.045,0,,
2012,MALUKU,15.614,0,2.1763161266,0
2013,MALUKU,33.981,0,,
2012,MALUKU UTARA,0,0,0,0
2013,MALUKU UTARA,0,0,,
2012,NUSA TENGGARA BARAT,0,0,0,0
2013,NUSA TENGGARA BARAT,0,12,,
2012,NUSA TENGGARA TIMUR,0,553.2,0,1.1748011569
2013,NUSA TENGGARA TIMUR,0,649.9,,
2012,PAPUA,50.72,0,1,0
2013,PAPUA,50.72,0,,
2012,PAPUA BARAT,38.976,0,1,0
2013,PAPUA BARAT,38.976,0,,
2012,RIAU,2139.824,1060,1.0251875855,1.016509434
2013,RIAU,2193.721,1077.5,,
2012,SULAWESI BARAT,95.082,0,1.0129993059,0
2013,SULAWESI BARAT,96.318,0,,
2012,SULAWESI SELATAN,32.264,45.3,1.1239151996,0.8940397351
2013,SULAWESI SELATAN,36.262,40.5,,
2012,SULAWESI TENGAH,142.592,30.83,0.9880077424,0.032435939
2013,SULAWESI TENGAH,140.882,1,,
2012,SULAWESI TENGGARA,60.57,346.1,0.7498431567,0.0375613984
2013,SULAWESI TENGGARA,45.418,13,,
2012,SULAWESI UTARA,0,1.8,0,0.1388888889
2013,SULAWESI UTARA,0,0.25,,
2012,SUMATERA BARAT,355.9,3.5,1.0233436359,0
2013,SUMATERA BARAT,364.208,0,,
2012,SUMATERA SELATAN,898.162,0,1.1808259534,0
2013,SUMATERA SELATAN,1060.573,484.15,,
2012,SUMATERA UTARA,1222.909,1181,1.096032493,0.250127011
2013,SUMATERA UTARA,1340.348,295.4,,
